 Nome da Empresa 	Pago 	Guia	Tipo de Site	Valor	Tipo de Cliente	Cidade	Estado	Data da Venda	Otimizado	3+ Avaliações no Google
 Empresa 1       	 SIM      	 SIM      	 WooCommerce 	1500,00	 TOP      	São Paulo    	 SP  	 quarta-feira, 10 de março de 2010 	 SIM 	 SIM 
 Empresa 2       	 SIM      	 SIM      	 Standard 	1700,00	 TRANQUILO 	 Rio de Janeiro   	 RJ  	terça-feira, 5 de maio de 2015  	NÃO	NÃO
 Empresa 3       	NÃO     	NÃO     	 WordPress + Blog 	2500,00	 CHATO 	 Belo Horizonte  	 MG  	 sexta-feira, 20 de julho de 2012 	 SIM 	 SIM 
 Empresa 4       	 SIM      	 SIM      	 WordPress 	1800,00	 TRANQUILO 	 Salvador       	 BA  	 quinta-feira, 15 de setembro de 2011 	NÃO	 SIM 
 Empresa 5       	NÃO     	NÃO     	 Standard 	1400,00	 CHATO 	 Brasília        	 DF  	 segunda-feira, 3 de novembro de 2008 	 SIM 	NÃO
 Empresa 6       	 SIM      	 SIM      	 WooCommerce 	1900,00	 TOP 	 Porto Alegre     	 RS  	 quarta-feira, 12 de dezembro de 2013 	 SIM 	 SIM 
 Empresa 7       	NÃO     	NÃO     	 WordPress + Blog 	1600,00	 TRANQUILO 	 Curitiba     	 PR  	 sexta-feira, 7 de setembro de 2018 	NÃO	NÃO
 Empresa 8       	 SIM      	NÃO     	 WooCommerce 	2200,00	 TOP 	 Goiânia          	 GO  	terça-feira, 21 de junho de 2016 	 SIM 	 SIM 
 Empresa 9       	 SIM      	 SIM      	 WordPress 	1750,00	 TRANQUILO 	 Recife         	 PE  	 quarta-feira, 14 de maio de 2014 	 SIM 	 SIM 
 Empresa 10      	NÃO     	NÃO     	 Standard 	1300,00	 CHATO 	 Manaus         	 AM  	 quinta-feira, 9 de outubro de 2019 	NÃO	NÃO
 Empresa 11      	 SIM      	 SIM      	 WooCommerce 	1650,00	 TOP      	 Belém             	 PA  	terça-feira, 8 de julho de 2017 	 SIM 	 SIM 
 Empresa 12      	 SIM      	 SIM      	 Standard 	1550,00	 TRANQUILO 	Vitória         	 ES  	 quarta-feira, 15 de fevereiro de 2012 	NÃO	 SIM 
 Empresa 13      	NÃO     	NÃO     	 WordPress + Blog 	2300,00	 CHATO 	 Florianópolis	 SC  	 quinta-feira, 25 de janeiro de 2018 	 SIM 	NÃO
 Empresa 14      	 SIM      	 SIM      	 WordPress 	2000,00	 TRANQUILO 	 Cuiabá          	 MT  	 segunda-feira, 4 de setembro de 2017 	 SIM 	 SIM 
 Empresa 15      	NÃO     	NÃO     	 Standard 	1350,00	 CHATO 	 João Pessoa     	 PB  	 sexta-feira, 30 de outubro de 2015 	NÃO	NÃO
 Empresa 16      	 SIM      	NÃO     	 WooCommerce 	2100,00	 TOP 	 Teresina          	 PI  	 quarta-feira, 14 de março de 2012 	 SIM 	 SIM 
 Empresa 17      	 SIM      	 SIM      	 WordPress + Blog 	1750,00	 TRANQUILO 	 Aracaju 	 SE  	terça-feira, 11 de janeiro de 2011 	NÃO	 SIM 
 Empresa 18      	NÃO     	NÃO     	 WordPress 	1450,00	 CHATO 	 Porto Velho 	 RO  	 quinta-feira, 27 de setembro de 2012 	 SIM 	NÃO
 Empresa 19      	 SIM      	 SIM      	 Standard 	1900,00	 TOP 	 Macapá¡            	 AP  	 sexta-feira, 5 de agosto de 2016 	 SIM 	 SIM 
 Empresa 20      	 SIM      	 SIM      	 WooCommerce 	1750,00	 TRANQUILO 	 Palmas      	 TO  	 quarta-feira, 23 de junho de 2010 	NÃO	NÃO
 Empresa 21      	 SIM      	 SIM      	 WooCommerce 	1600,00	 TOP 	 Campinas      	 SP  	 quarta-feira, 7 de abril de 2010 	 SIM 	 SIM 
 Empresa 22      	 SIM      	 SIM      	 Standard 	1750,00	 TRANQUILO 	 São Luís    	 MA  	terça-feira, 12 de setembro de 2017 	NÃO	NÃO
 Empresa 23      	NÃO     	NÃO     	 WordPress + Blog 	2400,00	 CHATO 	 Maceió  	 AL  	 sexta-feira, 14 de fevereiro de 2014 	 SIM 	 SIM 
 Empresa 24      	 SIM      	 SIM      	 WordPress 	1850,00	 TRANQUILO 	 Recife         	 PE  	 quinta-feira, 9 de março de 2011 	 SIM 	 SIM 
 Empresa 25      	NÃO     	NÃO     	 Standard 	1450,00	 CHATO 	 Belo Horizonte 	 MG  	 segunda-feira, 5 de janeiro de 2009 	NÃO	NÃO
 Empresa 26      	 SIM      	 SIM      	 WooCommerce 	1950,00	 TOP 	 Porto Alegre   	 RS  	 quarta-feira, 11 de outubro de 2015 	 SIM 	 SIM 
 Empresa 27      	NÃO     	NÃO     	 WordPress + Blog 	1700,00	 TRANQUILO 	 Curitiba 	 PR  	 quinta-feira, 20 de junho de 2019 	NÃO	NÃO
 Empresa 28      	 SIM      	NÃO     	 WooCommerce 	2150,00	 TOP 	 Goiânia           	 GO  	terça-feira, 2 de setembro de 2014 	 SIM 	 SIM 
 Empresa 29      	 SIM      	 SIM      	 WordPress 	1780,00	 TRANQUILO 	 Salvador   	 BA  	 quarta-feira, 1 de agosto de 2012 	 SIM 	 SIM 
 Empresa 30      	NÃO     	NÃO     	 Standard 	1320,00	 CHATO 	 Brasília        	 DF  	 sexta-feira, 18 de novembro de 2016 	NÃO	NÃO
 Empresa 31 	 SIM  	 SIM  	 WooCommerce       	1580,00	 TOP                   	 Florianópolis	 SC     	terça-feira, 3 de junho de 2014    	 SIM  	 SIM  
 Empresa 32 	 SIM  	 SIM  	 Standard           	1650,00	 TRANQUILO             	 Fortaleza       	 CE     	 quarta-feira, 12 de dezembro de 2018 	NÃO 	NÃO 
 Empresa 33 	NÃO 	NÃO 	 WordPress + Blog 	2550,00	 CHATO                 	 Goiânia         	 GO     	 sexta-feira, 20 de outubro de 2017   	 SIM  	 SIM  
 Empresa 34 	 SIM  	 SIM  	 WordPress          	1920,00	 TRANQUILO             	 Belém           	 PA     	 quinta-feira, 5 de agosto de 2010   	 SIM  	 SIM  
 Empresa 35 	NÃO 	NÃO 	 Standard           	1420,00	 CHATO                 	Vitória         	 ES     	 segunda-feira, 10 de abril de 2015  	NÃO 	NÃO 
 Empresa 36 	 SIM  	 SIM  	 WooCommerce       	1980,00	 TOP                   	 João Pessoa     	 PB     	 quarta-feira, 17 de março de 2016  	 SIM  	 SIM  
 Empresa 37 	NÃO 	NÃO 	 WordPress + Blog 	1670,00	 TRANQUILO             	 Teresina        	 PI     	 sexta-feira, 22 de setembro de 2017 	NÃO 	NÃO 
 Empresa 38 	 SIM  	NÃO 	 WooCommerce       	2100,00	 TOP                   	 Porto Velho     	 RO     	terça-feira, 14 de novembro de 2011 	 SIM  	 SIM  
 Empresa 39 	 SIM  	 SIM  	 WordPress          	1810,00	 TRANQUILO             	 Maceió          	 AL     	 quarta-feira, 8 de fevereiro de 2012 	 SIM  	 SIM  
 Empresa 40 	NÃO 	NÃO 	 Standard           	1380,00	 CHATO                 	 Manaus          	 AM     	 quinta-feira, 27 de junho de 2019  	NÃO 	NÃO 
 Empresa 41 	 SIM  	 SIM  	 WooCommerce       	1620,00	 TOP                   	 Curitiba        	 PR     	 quarta-feira, 19 de maio de 2010   	 SIM  	 SIM  
 Empresa 42 	 SIM  	 SIM  	 Standard           	1700,00	 TRANQUILO             	 Recife          	 PE     	terça-feira, 3 de setembro de 2013 	NÃO 	NÃO 
 Empresa 43 	NÃO 	NÃO 	 WordPress + Blog 	2480,00	 CHATO                 	 Brasília        	 DF     	 sexta-feira, 14 de junho de 2019   	 SIM  	 SIM  
 Empresa 44 	 SIM  	 SIM  	 WordPress          	1870,00	 TRANQUILO             	 Porto Alegre    	 RS     	 quinta-feira, 11 de dezembro de 2014 	 SIM  	 SIM  
 Empresa 45 	NÃO 	NÃO 	 Standard           	1440,00	 CHATO                 	 Belo Horizonte  	 MG     	 segunda-feira, 6 de março de 2017  	NÃO 	NÃO 
 Empresa 46 	 SIM  	 SIM  	 WooCommerce       	1960,00	 TOP                   	 São Luís        	 MA     	 quarta-feira, 8 de outubro de 2018  	 SIM  	 SIM  
 Empresa 47 	NÃO 	NÃO 	 WordPress + Blog 	1660,00	 TRANQUILO             	 Aracaju         	 SE     	 sexta-feira, 10 de janeiro de 2014  	NÃO 	NÃO 
 Empresa 48 	 SIM  	NÃO 	 WooCommerce       	2120,00	 TOP                   	 Natal           	 RN     	terça-feira, 12 de setembro de 2017 	 SIM  	 SIM  
 Empresa 49 	 SIM  	 SIM  	 WordPress          	1790,00	 TRANQUILO             	 Palmas          	 TO     	 quarta-feira, 23 de agosto de 2011 	 SIM  	 SIM  
 Empresa 50 	NÃO 	NÃO 	 Standard           	1400,00	 CHATO                 	 Teresina        	 PI     	 quinta-feira, 5 de novembro de 2015  	NÃO 	NÃO 
 Empresa 51 	 SIM 	 SIM 	 WooCommerce 	1560,00	 TOP 	 Porto Velho 	 RO 	 quarta-feira, 7 de março de 2018 	 SIM 	 SIM 
 Empresa 52 	 SIM 	 SIM 	 Standard 	1680,00	 TRANQUILO 	 Fortaleza 	 CE 	terça-feira, 22 de janeiro de 2013 	NÃO	NÃO
 Empresa 53 	NÃO	NÃO	 WordPress + Blog 	2420,00	 CHATO 	 Goiânia 	 GO 	 sexta-feira, 3 de abril de 2015 	 SIM 	 SIM 
 Empresa 54 	 SIM 	 SIM 	 WordPress 	1900,00	 TRANQUILO 	 Belém 	 PA 	 quinta-feira, 19 de setembro de 2019 	 SIM 	 SIM 
 Empresa 55 	NÃO	NÃO	 Standard 	1430,00	 CHATO 	Vitória 	 ES 	 segunda-feira, 8 de junho de 2015 	NÃO	NÃO
 Empresa 56 	 SIM 	 SIM 	 WooCommerce 	1940,00	 TOP 	 João Pessoa 	 PB 	 quarta-feira, 27 de dezembro de 2017 	 SIM 	 SIM 
 Empresa 57 	NÃO	NÃO	 WordPress + Blog 	1630,00	 TRANQUILO 	 Teresina 	 PI 	 sexta-feira, 4 de março de 2011 	NÃO	NÃO
 Empresa 58 	 SIM 	NÃO	 WooCommerce 	2080,00	 TOP 	 Porto Alegre 	 RS 	terça-feira, 15 de outubro de 2013 	 SIM 	 SIM 
 Empresa 59 	 SIM 	 SIM 	 WordPress 	1760,00	 TRANQUILO 	 Maceió 	 AL 	 quarta-feira, 18 de agosto de 2010 	 SIM 	 SIM 
 Empresa 60 	NÃO	NÃO	 Standard 	1360,00	 CHATO 	 Salvador 	 BA 	 quinta-feira, 12 de junho de 2014 	NÃO	NÃO
 Empresa 61 	 SIM 	 SIM 	 WooCommerce 	1570,00	 TOP 	 Recife 	 PE 	 quarta-feira, 6 de maio de 2015 	 SIM 	 SIM 
 Empresa 62 	 SIM 	 SIM 	 Standard 	1690,00	 TRANQUILO 	Florianópolis	 SC 	terça-feira, 8 de outubro de 2019 	NÃO	NÃO
 Empresa 63 	NÃO	NÃO	 WordPress + Blog 	2450,00	 CHATO 	 Fortaleza 	 CE 	 sexta-feira, 12 de agosto de 2016 	 SIM 	 SIM 
 Empresa 64 	 SIM 	 SIM 	 WordPress 	1880,00	 TRANQUILO 	 Belo Horizonte 	 MG 	 quinta-feira, 9 de julho de 2015 	 SIM 	 SIM 
 Empresa 65 	NÃO	NÃO	 Standard 	1410,00	 CHATO 	 Teresina 	 PI 	 segunda-feira, 11 de novembro de 2013 	NÃO	NÃO
 Empresa 66 	 SIM 	 SIM 	 WooCommerce 	1920,00	 TOP 	 São Luís 	 MA 	 quarta-feira, 20 de setembro de 2017 	 SIM 	 SIM 
 Empresa 67 	NÃO	NÃO	 WordPress + Blog 	1620,00	 TRANQUILO 	 Aracaju 	 SE 	 sexta-feira, 14 de janeiro de 2011 	NÃO	NÃO
 Empresa 68 	 SIM 	NÃO	 WooCommerce 	2070,00	 TOP 	 Cuiabá 	 MT 	terça-feira, 6 de março de 2018 	 SIM 	 SIM 
 Empresa 69 	 SIM 	 SIM 	 WordPress 	1770,00	 TRANQUILO 	 Natal 	 RN 	 quarta-feira, 27 de agosto de 2014 	 SIM 	 SIM 
 Empresa 70 	NÃO	NÃO	 Standard 	1350,00	 CHATO 	 Manaus 	 AM 	 quinta-feira, 19 de junho de 2019 	NÃO	NÃO
 Empresa 71 	 SIM 	 SIM 	 WooCommerce 	1550,00	 TOP 	 Salvador 	 BA 	 quarta-feira, 12 de dezembro de 2018 	 SIM 	 SIM 
 Empresa 72 	 SIM 	 SIM 	 Standard 	1660,00	 TRANQUILO 	 Porto Velho 	 RO 	terça-feira, 17 de maio de 2016 	NÃO	NÃO
 Empresa 73 	NÃO	NÃO	 WordPress + Blog 	2470,00	 CHATO 	 Recife 	 PE 	 sexta-feira, 28 de julho de 2017 	 SIM 	 SIM 
 Empresa 74 	 SIM 	 SIM 	 WordPress 	1890,00	 TRANQUILO 	 São Paulo 	 SP 	 quinta-feira, 9 de janeiro de 2014 	 SIM 	 SIM 
 Empresa 75 	NÃO	NÃO	 Standard 	1405,00	 CHATO 	 Fortaleza 	 CE 	 segunda-feira, 3 de setembro de 2012 	NÃO	NÃO
 Empresa 76 	 SIM 	 SIM 	 WooCommerce 	1915,00	 TOP 	 Belém 	 PA 	 quarta-feira, 22 de março de 2017 	 SIM 	 SIM 
 Empresa 77 	NÃO	NÃO	 WordPress + Blog 	1615,00	 TRANQUILO 	 Goiânia 	 GO 	 sexta-feira, 10 de novembro de 2019 	NÃO	NÃO
 Empresa 78 	 SIM 	NÃO	 WooCommerce 	2050,00	 TOP 	Florianópolis	 SC 	terça-feira, 14 de agosto de 2018 	 SIM 	 SIM 
 Empresa 79 	 SIM 	 SIM 	 WordPress 	1785,00	 TRANQUILO 	Vitória 	 ES 	 quarta-feira, 5 de maio de 2010 	 SIM 	 SIM 
